Year,Vehicle Class,2WIC,2WN,2WT,TOTAL
2019,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,461,461
2019,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,18542,18542
2019,MOTORISED CYCLE (CC > 25CC),0,331034,0,331034
2020,ADAPTED VEHICLE,9802,0,0,9802
2020,M-CYCLE/SCOOTER,0,13672973,0,13672973
2020,M-CYCLE/SCOOTER-WITH SIDE CAR,0,14408,0,14408
2020,MOPED,0,412281,0,412281
2020,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,161,161
2020,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,5687,5687
2020,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,1,1
2020,MOTORISED CYCLE (CC > 25CC),0,199844,0,199844
2021,ADAPTED VEHICLE,9949,1,0,9950
2021,M-CYCLE/SCOOTER,0,13386534,0,13386534
2021,M-CYCLE/SCOOTER-WITH SIDE CAR,0,11887,0,11887
2021,MOPED,0,339400,0,339400
2021,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,100,100
2021,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,8291,8291
2021,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,6,6
2021,MOTORISED CYCLE (CC > 25CC),0,178608,0,178608
2022,ADAPTED VEHICLE,13719,2,0,13721
2022,M-CYCLE/SCOOTER,1,14976101,0,14976102
2022,M-CYCLE/SCOOTER-WITH SIDE CAR,0,14098,0,14098
2022,MOPED,0,357776,0,357776
2022,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,206,206
2022,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,18783,18783
2022,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,2,2
2022,MOTORISED CYCLE (CC > 25CC),0,217822,0,217822
2023,ADAPTED VEHICLE,24455,6,0,24461
2023,M-CYCLE/SCOOTER,1,16483883,0,16483884
2023,M-CYCLE/SCOOTER-WITH SIDE CAR,0,13292,0,13292
2023,MOPED,0,349181,0,349181
2023,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,100,100
2023,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,16293,16293
2023,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,41,41
2023,MOTORISED CYCLE (CC > 25CC),0,210057,0,210057
2024,ADAPTED VEHICLE,15866,2,0,15868
2024,M-CYCLE/SCOOTER,0,18331769,0,18331769
2024,M-CYCLE/SCOOTER-WITH SIDE CAR,0,6574,0,6574
2024,MOPED,0,377489,0,377489
2024,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,111,111
2024,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,19343,19343
2024,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,30,30
2024,MOTORISED CYCLE (CC > 25CC),0,188811,0,188811
2025,ADAPTED VEHICLE,15946,0,0,15946
2025,M-CYCLE/SCOOTER,0,10603839,0,10603839
2025,M-CYCLE/SCOOTER-WITH SIDE CAR,0,3084,0,3084
2025,MOPED,0,207891,0,207891
2025,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,52,52
2025,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,10419,10419
2025,MOTORISED CYCLE (CC > 25CC),0,89918,0,89918
Till date,ADAPTED VEHICLE,131186,25357,0,156543
Till date,M-CYCLE/SCOOTER,5,280983542,1,280983548
Till date,M-CYCLE/SCOOTER-WITH SIDE CAR,0,296124,0,296124
Till date,MOPED,0,9841251,0,9841251
Till date,MOTOR CYCLE/SCOOTER-SIDECAR(T),0,0,10382,10382
Till date,MOTOR CYCLE/SCOOTER-USED FOR HIRE,0,0,136462,136462
Till date,MOTOR CYCLE/SCOOTER-WITH TRAILER,0,0,148,148
Till date,MOTORISED CYCLE (CC > 25CC),0,1937477,0,1937477
